date,Brugnera,Capriva del Friuli,Cervignano del Friuli,Cividale del Friuli,Codroipo,Enemonzo,Fagagna,Fossalon,Gemona del Friuli,Gradisca d'Is.,Lignano,Monte Zoncolan,Musi,Palazzolo dello Stella,San Vito al Tgl.,Sgonico-Zgonik,Talmassons,Tarvisio,Trieste molo F.lli Bandiera,Udine S.O.,Vivaro
2012-5,42.3,21.0,42.7,36.3,32.1,46.6,28.9,38.5,56.7,28.4,31.9,,74.8,35.2,25.6,23.0,37.6,39.8,24.3,23.6,50.3
2012-6,10.4,32.8,29.4,37.1,26.8,56.1,66.2,26.0,70.7,37.8,18.1,,60.2,34.8,55.6,22.0,38.4,25.5,15.7,49.7,38.8
2012-7,37.9,33.1,25.2,39.7,26.5,51.3,35.8,10.9,64.0,23.8,7.2,,83.8,4.0,41.5,21.7,27.2,48.8,21.6,18.5,67.9
2012-8,15.8,34.8,10.0,48.4,55.3,77.4,143.3,9.6,78.0,24.4,17.1,,136.6,100.7,55.4,26.7,65.3,59.3,16.0,44.4,25.3
2012-9,50.2,57.4,61.6,86.0,94.5,115.6,64.1,71.5,76.4,48.1,59.4,,102.4,105.8,80.5,62.8,82.3,70.1,46.7,78.1,76.0
2012-10,37.5,87.9,76.1,64.8,52.3,106.4,54.2,47.5,87.1,117.6,53.4,,104.2,52.9,25.6,69.4,58.8,60.6,34.7,66.1,53.0
2012-11,127.0,57.0,46.9,47.1,52.9,212.5,82.0,52.1,181.3,50.0,53.8,,264.8,44.8,57.5,55.8,42.4,73.8,36.8,46.6,143.1
2012-12,24.8,47.2,34.2,46.7,34.9,13.7,36.8,27.1,34.4,38.7,24.0,,61.6,27.8,29.1,50.4,29.8,20.2,21.6,40.3,25.5
2013-1,13.0,27.8,29.1,28.8,17.9,19.5,27.3,22.9,33.5,23.1,21.7,,69.6,17.1,22.4,38.6,18.4,16.5,22.6,30.3,25.8
2013-2,33.7,66.0,88.3,73.9,69.1,26.9,57.2,69.8,52.5,67.2,78.4,,82.4,74.9,49.4,54.8,62.3,47.4,45.9,67.0,28.1
2013-3,60.2,53.4,51.9,65.2,84.8,69.8,75.8,49.9,77.8,56.7,67.2,,119.2,60.2,66.8,53.4,50.1,60.9,29.6,73.3,66.0
